Company,Valuation ($B),Date Joined,Country,City ,Industry,Investors,Valuation BI,invest_1,invest_2,invest_3,invest_4,data_1,data_2,data_3,data_4
Webflow,$4,2021-01-13,United States,San Francisco,Internet software & services,"Accel, Silversmith Capital Partners, capitalG",4.0,Accel,Silversmith Capital Partners,capitalG,nan,Accel,Silversmith Capital Partners,capitalG,
Yuga Labs,$4,2022-03-22,United States,Miami,Internet software & services,"Andreessen Horowitz, Thrive Capital, Sound Ventures",4.0,Andreessen Horowitz,Thrive Capital,Sound Ventures,nan,Andreessen Horowitz,Thrive Capital,Sound Ventures,
Digit Insurance,$4,2021-01-15,India,Bengaluru,Fintech,"Fairfax Financial Holdings, A91 Partners, TVS Capital",4.0,Fairfax Financial Holdings,A91 Partners,TVS Capital,nan,Fairfax Ficial Holdings,A91 Partners,TVS Capital,
Abnormal Security,$4,2022-05-10,United States,San Francisco,Cybersecurity,"Greylock Partners, Insight Partners,Menlo Ventures",4.0,Greylock Partners,Insight Partners,Menlo Ventures,nan,Greylock Partners,Insight Partners,Menlo Ventures,
Medlinker,$3.92,2018-07-31,China,Chengdu,Health,"China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China",3.92,China Health Industry Investment Fund,China Renaissance,and Sequoia Capital China,nan,China Health Industry Investment Fund,China Renaissance,and Sequoia Capital China,
Intarcia Therapeutics,$3.80,2014-04-01,United States,Boston,Health,"New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital",3.8,New Enterprise Associates,New Leaf Venture Partners,Charter Venture Capital,nan,New Enterprise Associates,New Leaf Venture Partners,Charter Venture Capital,
StockX,$3.80,2019-06-26,United States,Detroit,E-commerce & direct-to-consumer,"Google Ventures, Battery Ventures, DST Global",3.8,Google Ventures,Battery Ventures,DST Global,nan,Google Ventures,Battery Ventures,DST Global,
MessageBird,$3.80,2020-10-08,Netherlands,Amsterdam,Mobile & telecommunications,"Y Combinator, Atomico, Accel",3.8,Y Combinator,Atomico,Accel,nan,Y Combinator,Atomico,Accel,
Convoy,$3.80,2018-09-21,United States,Seattle,"Supply chain, logistics, & delivery","Greylock Partners, capitalG, Y Combinator",3.8,Greylock Partners,capitalG,Y Combinator,nan,Greylock Partners,capitalG,Y Combinator,
Articulate,$3.75,2021-07-01,United States,New York,Edtech,"Blackstone, ICONIQ Growth, General Atlantic",3.75,Blackstone,ICONIQ Growth,General Atlantic,nan,Blackstone,ICONIQ Growth,General Atlantic,
Dutchie,$3.75,2021-03-16,United States,Bend,E-commerce & direct-to-consumer,"Casa Verde Capital, Gron Ventures, Thrity Five Ventures",3.75,Casa Verde Capital,Gron Ventures,Thrity Five Ventures,nan,Casa Verde Capital,Gron Ventures,Thrity Five Ventures,
Cohesity,$3.70,2018-06-11,United States,San Jose,Data management & analytics,"SoftBank Group, Sequoia Capital, Wing Venture Capital",3.7,SoftBank Group,Sequoia Capital,Wing Venture Capital,nan,SoftBank Group,Sequoia Capital,Wing Venture Capital,
VAST Data,$3.70,2020-04-16,United States,New York,Data management & analytics,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital",3.7,Norwest Venture Partners,Goldman Sachs,Dell Technologies Capital,nan,Norwest Venture Partners,Goldman Sachs,Dell Technologies Capital,
GOAT,$3.70,2020-09-23,United States,Culver City,E-commerce & direct-to-consumer,"Upfront Ventures, Webb Investment Network, D1 Capital Partners",3.7,Upfront Ventures,Webb Investment Network,D1 Capital Partners,nan,Upfront Ventures,Webb Investment Network,D1 Capital Partners,
Noom,$3.70,2021-05-24,United States,New York,Health,"Qualcomm Ventures, Samsung Ventures, Silver Lake",3.7,Qualcomm Ventures,Samsung Ventures,Silver Lake,nan,Qualcomm Ventures,Samsung Ventures,Silver Lake,
Redwood Materials,$3.70,2021-07-28,United States,Carson City,Other,"Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners",3.7,Breakthrough Energy Ventures,Capricorn Investment Group,Valor Equity Partners,nan,Breakthrough Energy Ventures,Capricorn Investment Group,Valor Equity Partners,
Papaya Global,$3.70,2021-03-04,United States,New York,Internet software & services,"Bessemer Venture Partners, Insight Partners, New Era Ventures",3.7,Bessemer Venture Partners,Insight Partners,New Era Ventures,nan,Bessemer Venture Partners,Insight Partners,New Era Ventures,
Abogen,$3.70,2021-11-29,China,Suzhou,Health,"Hillhouse Capital Management, SoftBank Group, Qiming Venture Partners",3.7,Hillhouse Capital Management,SoftBank Group,Qiming Venture Partners,nan,Hillhouse Capital Management,SoftBank Group,Qiming Venture Partners,
Harness,$3.70,2021-01-14,United States,San Francisco,Artificial intelligence,"Menlo Ventures, Alkeon Capital Management, Citi Ventures",3.7,Menlo Ventures,Alkeon Capital Management,Citi Ventures,nan,Menlo Ventures,Alkeon Capital Management,Citi Ventures,
Whatnot,$3.70,2021-09-16,United States,Marina del Rey,E-commerce & direct-to-consumer,"Y Combinator, Andreessen Horowitz, Wonder Ventures",3.7,Y Combinator,Andreessen Horowitz,Wonder Ventures,nan,Y Combinator,Andreessen Horowitz,Wonder Ventures,
Autograph,$3.66,2022-01-20,United States,Santa Monica,Internet software & services,01 Advisors. Kleiner Perkins Caufield & Byers. Andreessen Horowitz,3.66,01 Advisors. Kleiner Perkins Caufield & Byers. Andreessen Horowitz,nan,nan,nan,01 Advisors. Kleiner Perkins Caufield & Byers. Andreessen Horowitz,,,
Relativity,$3.60,2021-03-18,United States,Chicago,Internet software & services,"Silver Lake, ICONIQ Capital",3.6,Silver Lake,ICONIQ Capital,nan,nan,Silver Lake,ICONIQ Capital,,
Whoop,$3.60,2020-10-28,United States,Boston,E-commerce & direct-to-consumer,"NextView Ventures, Promus Ventures, Two Sigma Ventures",3.6,NextView Ventures,Promus Ventures,Two Sigma Ventures,nan,NextView Ventures,Promus Ventures,Two Sigma Ventures,
Applied Intuition,$3.60,2020-10-22,United States,Sunnyvale,Auto & transportation,"Andreessen Horowitz, Lux Capital, General Catalyst",3.6,Andreessen Horowitz,Lux Capital,General Catalyst,nan,Andreessen Horowitz,Lux Capital,General Catalyst,
Course Hero,$3.60,2020-02-12,United States,Redwood City,Edtech,"NewView Capital, Maveron, Ridge Ventures",3.6,NewView Capital,Maveron,Ridge Ventures,nan,NewView Capital,Maveron,Ridge Ventures,
SpotOn,$3.60,2021-05-26,United States,San Francisco,Fintech,"Dragoneer Investment Group, DST Global, Franklin Templeton",3.6,Dragoneer Investment Group,DST Global,Franklin Templeton,nan,Dragoneer Investment Group,DST Global,Franklin Templeton,
Otto Bock HealthCare,$3.52,2017-06-24,Germany,Duderstadt,Health,EQT Partners,3.52,EQT Partners,nan,nan,nan,EQT Partners,,,
Indigo Ag,$3.50,2017-09-26,United States,Boston,Artificial intelligence,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co.",3.5,Activant Capital Group,Alaska Permanent Fund,Baillie Gifford & Co.,nan,Activant Capital Group,Alaska Permanent Fund,Baillie Gifford & Co.,
HyalRoute,$3.50,2020-05-26,Singapore,Mobile & telecommunications,Kuang-Chi,,3.5,nan,nan,nan,nan,,,,
Rec Room,$3.50,2021-03-23,United States,Seattle,Internet software & services,"First Round Capital, Sequoia Capital, Index Ventures",3.5,First Round Capital,Sequoia Capital,Index Ventures,nan,First Round Capital,Sequoia Capital,Index Ventures,
Commure,$3.50,2021-09-16,United States,San Francisco,Internet software & services,"General Catalyst, HCA Healthcare",3.5,General Catalyst,HCA Healthcare,nan,nan,General Catalyst,HCA Healthcare,,
Mirakl,$3.50,2020-09-22,France,Paris,E-commerce & direct-to-consumer,"Elaia Partners, 83North, Felix Capital",3.5,Elaia Partners,83North,Felix Capital,nan,Elaia Partners,83North,Felix Capital,
Tekion,$3.50,2020-10-21,United States,San Ramon,Internet software & services,"Airbus Ventures, Index Ventures, Advent International",3.5,Airbus Ventures,Index Ventures,Advent International,nan,Airbus Ventures,Index Ventures,Advent International,
Celsius Network,$3.50,2021-10-12,United States,Hoboken,Fintech,"WestCap Group, Caisse de depot et placement du Quebec",3.5,WestCap Group,Caisse de depot et placement du Quebec,nan,nan,WestCap Group,Caisse de depot et placement du Quebec,,
GoStudent,$3.50,2021-06-22,Austria,Vienna,Edtech,"DN Capital, Left Lane Capital, Coatue Management",3.5,DN Capital,Left Lane Capital,Coatue Management,nan,DN Capital,Left Lane Capital,Coatue Management,
Highspot,$3.50,2021-02-22,United States,Seattle,Internet software & services,"Madrona Venture Group, Shasta Ventures, Salesforce Ventures",3.5,Madrona Venture Group,Shasta Ventures,Salesforce Ventures,nan,Madrona Venture Group,Shasta Ventures,Salesforce Ventures,
Handshake,$3.50,2021-05-12,United States,San Francisco,Internet software & services,"Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures",3.5,Kleiner Perkins Caufield & Byers,Lightspeed Venture Partners,True Ventures,nan,Kleiner Perkins Caufield & Byers,Lightspeed Venture Partners,True Ventures,
ChargeBee Technologies,$3.50,2021-04-20,United States,San Francisco,Fintech,"Insight Partners, Tiger Global Management, Accel",3.5,Insight Partners,Tiger Global Management,Accel,nan,Insight Partners,Tiger Global Management,Accel,
Flock Safety,$3.50,2021-07-13,United States,Atlanta,Hardware,"Matrix Partners, Initialized Capital, Tiger Global Management",3.5,Matrix Partners,Initialized Capital,Tiger Global Management,nan,Matrix Partners,Initialized Capital,Tiger Global Management,
Helion Energy,$3.50,2021-11-05,United States,Redmond,Other,"Mithril Capital Management, Y Combinator, Capricorn Investment Group",3.5,Mithril Capital Management,Y Combinator,Capricorn Investment Group,nan,Mithril Capital Management,Y Combinator,Capricorn Investment Group,
Acronis,$3.50,2019-09-18,Switzerland,Schaffhausen,Cybersecurity,"Goldman Sachs, VebVentures, Insight Partners",3.5,Goldman Sachs,VebVentures,Insight Partners,nan,Goldman Sachs,VebVentures,Insight Partners,
Unacademy,$3.44,2020-09-02,India,Bengaluru,Edtech,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India",3.44,Blume Ventures,Nexus Venture Partners,Sequoia Capital India,nan,Blume Ventures,Nexus Venture Partners,Sequoia Capital India,
MoonPay,$3.40,2021-11-22,United States,Miami,Fintech,"New Enterprise Associates, Coatue Management, Tiger Global Management",3.4,New Enterprise Associates,Coatue Management,Tiger Global Management,nan,New Enterprise Associates,Coatue Management,Tiger Global Management,
Upstox,$3.40,2021-11-29,India,Mumbai,Fintech,"Tiger Global Management, Kalaari Capital",3.4,Tiger Global Management,Kalaari Capital,nan,nan,Tiger Global Management,Kalaari Capital,,
Youxia Motors,$3.35,2018-04-02,China,Shanghai,Auto & transportation,"China Environmental Protection Industry, China Fortune Ocean",3.35,China Environmental Protection Industry,China Fortune Ocean,nan,nan,China Environmental Protection Industry,China Fortune Ocean,,
OwnBackup,$3.35,2021-01-28,United States,Englewood Cliffs,Data management & analytics,"Insight Partners, Salesforce Ventures, Vertex Ventures",3.35,Insight Partners,Salesforce Ventures,Vertex Ventures,nan,Insight Partners,Salesforce Ventures,Vertex Ventures,
Starburst,$3.35,2021-01-06,United States,Boston,Data management & analytics,"Index Ventures, Coatue Management, Andreessen Horowitz",3.35,Index Ventures,Coatue Management,Andreessen Horowitz,nan,Index Ventures,Coatue Management,Andreessen Horowitz,
Starling Bank,$3.34,2021-03-08,United Kingdom,London,Fintech,"JTC Group, Qatar Investment Authority, Fidelity Investment",3.34,JTC Group,Qatar Investment Authority,Fidelity Investment,nan,JTC Group,Qatar Investment Authority,Fidelity Investment,
ECARX,$3.31,2020-10-26,China,Wuhan,Auto & transportation,"Geely, SIG Asia Investments, China State Capital Venture Capital Fund",3.31,Geely,SIG Asia Investments,China State Capital Venture Capital Fund,nan,Geely,SIG Asia Investments,China State Capital Venture Capital Fund,
Sila Nanotechnologies,$3.30,2019-04-16,United States,Alameda,Other,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners",3.3,Bessemer Venture Partners,Sutter Hill Ventures,Matrix Partners,nan,Bessemer Venture Partners,Sutter Hill Ventures,Matrix Partners,
Scopely,$3.30,2019-10-29,United States,Culver City,Mobile & telecommunications,"Greycroft, Sands Capital, Revolution Growth",3.3,Greycroft,Sands Capital,Revolution Growth,nan,Greycroft,Sands Capital,Revolution Growth,
Komodo Health,$3.30,2020-05-22,United States,San Francisco,Health,"Andreessen Horowitz, IA Ventures, Felicis Ventures",3.3,Andreessen Horowitz,IA Ventures,Felicis Ventures,nan,Andreessen Horowitz,IA Ventures,Felicis Ventures,
Kurly,$3.30,2021-07-09,South Korea,Seoul,"Supply chain, logistics, & delivery","Sequoia Capital China, DST Global, DST Global",3.3,Sequoia Capital China,DST Global,DST Global,nan,Sequoia Capital China,DST Global,DST Global,
Cars24,$3.30,2020-11-24,India,Gurgaon,E-commerce & direct-to-consumer,"Moore Strategic Ventures, DST Global, Sequoia Capital India",3.3,Moore Strategic Ventures,DST Global,Sequoia Capital India,nan,Moore Strategic Ventures,DST Global,Sequoia Capital India,
BlockDaemon,$3.25,2021-09-21,United States,Los Angeles,Fintech,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital",3.25,BOLDstart Ventures,Lerer Hippeau,Kenetic Capital,nan,BOLDstart Ventures,Lerer Hippeau,Kenetic Capital,
Dadi Cinema,$3.24,2016-05-11,China,Shenzhen,Other,Alibaba Pictures Group,3.24,Alibaba Pictures Group,nan,nan,nan,Alibaba Pictures Group,,,
Aiven,$3.21,2021-10-18,Finland,Helsinki,Internet software & services,"Institutional Venture Partners, Atomico, Earlybird Venture Capital",3.21,Institutional Venture Partners,Atomico,Earlybird Venture Capital,nan,Institutional Venture Partners,Atomico,Earlybird Venture Capital,
Thumbtack,$3.20,2015-09-29,United States,San Francisco,E-commerce & direct-to-consumer,"Tiger Global, Sequoia Capital, Google Capital",3.2,Tiger Global,Sequoia Capital,Google Capital,nan,Tiger Global,Sequoia Capital,Google Capital,
Cedar,$3.20,2021-03-09,United States,New York,Fintech,"Thrive Capital, Founders Fund, Cocnord Health Partners",3.2,Thrive Capital,Founders Fund,Cocnord Health Partners,nan,Thrive Capital,Founders Fund,Cocnord Health Partners,
Eruditus Executive Education,$3.20,2021-08-12,India,Mumbai,Edtech,"Sequoia Capital India, Softbank, Bertelsmann India Investments",3.2,Sequoia Capital India,Softbank,Bertelsmann India Investments,nan,Sequoia Capital India,Softbank,Bertelsmann India Investments,
Blockstream,$3.20,2021-08-24,Canada,Vancouver,Fintech,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital",3.2,AME Cloud Ventures,Future Perfect Ventures,Blockchain Capital,nan,AME Cloud Ventures,Future Perfect Ventures,Blockchain Capital,
Innovaccer,$3.20,2021-02-19,United States,San Francisco,Health,"M12, WestBridge Capital, Lightspeed Venture Partners",3.2,M12,WestBridge Capital,Lightspeed Venture Partners,nan,M12,WestBridge Capital,Lightspeed Venture Partners,
Ironclad,$3.20,2022-01-18,United States,Sacramento,Internet software & services,"Accel, Sequoia Capital, Y Combinator",3.2,Accel,Sequoia Capital,Y Combinator,nan,Accel,Sequoia Capital,Y Combinator,
Skims,$3.20,2021-04-09,United States,Los Angeles,E-commerce & direct-to-consumer,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures",3.2,Thrive Capital,Alliance Consumer Growth,Imaginary Ventures,nan,Thrive Capital,Alliance Consumer Growth,Imaginary Ventures,
Eikon Therapeutics,$3.20,2022-01-06,United States,Hayward,Health,"The Column Group, Foresite Capital, Foresite Capital",3.2,The Column Group,Foresite Capital,Foresite Capital,nan,The Column Group,Foresite Capital,Foresite Capital,
Retool,$3.20,2021-12-22,United States,San Francisco,Internet software & services,Sequoia Capital,3.2,Sequoia Capital,nan,nan,nan,Sequoia Capital,,,
PsiQuantum,$3.15,2021-07-27,United States,Palo Alto,Hardware,"Playground Global, M12, BlackRock",3.15,Playground Global,M12,BlackRock,nan,Playground Global,M12,BlackRock,
Udaan,$3.10,2018-09-04,India,Bengaluru,"Supply chain, logistics, & delivery","DST Global, Lightspeed Venture Partners, Microsoft ScaleUp",3.1,DST Global,Lightspeed Venture Partners,Microsoft ScaleUp,nan,DST Global,Lightspeed Venture Partners,Microsoft ScaleUp,
HighRadius,$3.10,2020-01-07,United States,Houston,Fintech,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital",3.1,Susquehanna Growth Equity,Citi Ventures,ICONIQ Capital,nan,Susquehanna Growth Equity,Citi Ventures,ICONIQ Capital,
Nuvemshop,$3.10,2021-08-17,Brazil,Sao Paulo,E-commerce & direct-to-consumer,"Kaszek Ventures, Qualcomm Ventures, Accel",3.1,Kaszek Ventures,Qualcomm Ventures,Accel,nan,Kaszek Ventures,Qualcomm Ventures,Accel,
Yixia,$3,2015-11-24,China,Beijing,Mobile & telecommunications,"Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures",3.0,Sequoia Capital China,Sina Weibo,Kleiner Perkins Caufield & Byers,Redpoint Ventures,Sequoia Capital China,Sina Weibo,Kleiner Perkins Caufield & Byers,Redpoint Ventures
Traveloka,$3,2017-01-01,Indonesia,Jakarta,Travel,"Global Founders Capital, East Ventures, Expedia Inc.",3.0,Global Founders Capital,East Ventures,Expedia Inc.,nan,Global Founders Capital,East Ventures,Expedia Inc.,
SouChe Holdings,$3,2017-11-01,China,Hangzhou,E-commerce & direct-to-consumer,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund",3.0,Morningside Ventures,Warburg Pincus,CreditEase Fintech Investment Fund,nan,Morningside Ventures,Warburg Pincus,CreditEase Fintech Investment Fund,
BGL Group,$3,2017-11-24,United Kingdom,Peterborough,Fintech,CPP Investment Board,3.0,CPP Investment Board,nan,nan,nan,CPP Investment Board,,,
Circle,$3,2018-05-15,United States,Boston,Fintech,"General Catalyst, Digital Currency Group, Accel",3.0,General Catalyst,Digital Currency Group,Accel,nan,General Catalyst,Digital Currency Group,Accel,
Zuoyebang,$3,2018-07-18,China,Beijing,Edtech,"Sequoia Capital China, Xiang He Capital, GGV Capital",3.0,Sequoia Capital China,Xiang He Capital,GGV Capital,nan,Sequoia Capital China,Xiang He Capital,GGV Capital,
FlixMobility,$3,2019-07-18,Germany,Munich,Auto & transportation,"Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic",3.0,Holtzbrinck Ventures,Unternehmertum Venture Capital,General Atlantic,nan,Holtzbrinck Ventures,Unternehmertum Venture Capital,General Atlantic,
Wildlife Studios,$3,2019-12-05,Brazil,Sao Paulo,Other,"Benchmark, Bessemer Venture Partners",3.0,Benchmark,Bessemer Venture Partners,nan,nan,Benchmark,Bessemer Venture Partners,,
ApplyBoard,$3.20,2020-05-05,Canada,Kitchener,Edtech,"Artiman Ventures, Plug and Play Ventures, Anthos Capital",3.2,Artiman Ventures,Plug and Play Ventures,Anthos Capital,nan,Artiman Ventures,Plug and Play Ventures,Anthos Capital,
Forter,$3,2020-11-19,United States,New York,Cybersecurity,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures",3.0,Sequoia Capital Israel,Scale Venture Partners,Commerce Ventures,nan,Sequoia Capital Israel,Scale Venture Partners,Commerce Ventures,
Calendly,$3,2021-01-26,United States,Atlanta,Internet software & services,"ICONIQ Capital, OpenView Venture Partners",3.0,ICONIQ Capital,OpenView Venture Partners,nan,nan,ICONIQ Capital,OpenView Venture Partners,,
BlockFi,$3,2021-03-11,United States,Jersey City,Fintech,"ConsenSys Ventures, Valar Ventures, PUC",3.0,ConsenSys Ventures,Valar Ventures,PUC,nan,ConsenSys Ventures,Valar Ventures,PUC,
ActiveCampaign,$3,2021-04-21,United States,Chicago,Internet software & services,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management",3.0,Silversmith Capital Partners,Susquehanna Growth Equity,Tiger Global Management,nan,Silversmith Capital Partners,Susquehanna Growth Equity,Tiger Global Management,
CMR Surgical,$3,2019-09-17,United Kingdom,Cambridge,Health,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital",3.0,Cambridge Innovation Capital,LGT Capital Partners,Escala Capital,nan,Cambridge Innovation Capital,LGT Capital Partners,Escala Capital,
Lucid Software,$3,2021-06-29,United States,South Jordan,Internet software & services,"Spectrum Equity, ICONIQ Capital, Grayhawk Capital",3.0,Spectrum Equity,ICONIQ Capital,Grayhawk Capital,nan,Spectrum Equity,ICONIQ Capital,Grayhawk Capital,
Age of Learning,$3,2016-05-03,United States,Glendale,Edtech,Iconiq Capital,3.0,Iconiq Capital,nan,nan,nan,Iconiq Capital,,,
Carbon Health,$3,2021-07-21,United States,San Francisco,Health,"Brookfield Asset Management, Blackstone, Data Collective",3.0,Brookfield Asset Management,Blackstone,Data Collective,nan,Brookfield Asset Management,Blackstone,Data Collective,
Contentful,$3,2021-07-28,Germany,Berlin,Internet software & services,"Balderton Capital, General Catalyst, Tiger Global Management",3.0,Balderton Capital,General Catalyst,Tiger Global Management,nan,Balderton Capital,General Catalyst,Tiger Global Management,
LaunchDarkly,$3,2021-08-10,United States,Oakland,Internet software & services,"Uncork Capital, Threshold Ventures, Bloomberg Beta",3.0,Uncork Capital,Threshold Ventures,Bloomberg Beta,nan,Uncork Capital,Threshold Ventures,Bloomberg Beta,
Seismic,$3,2018-12-18,United States,San Diego,Internet software & services,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners",3.0,Jackson Square Ventures,General Atlantic,Lightspeed Venture Partners,nan,Jackson Square Ventures,General Atlantic,Lightspeed Venture Partners,
Grafana Labs,$3,2021-03-25,United States,New York,Internet software & services,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management",3.0,Lightspeed Venture Partners,Lead Edge Capital,Coatue Management,nan,Lightspeed Venture Partners,Lead Edge Capital,Coatue Management,
Gorillas,$3.10,2021-03-25,Germany,Berlin,"Supply chain, logistics, & delivery","Coatue Management, Atlantic Food Labs, DST Global",3.1,Coatue Management,Atlantic Food Labs,DST Global,nan,Coatue Management,Atlantic Food Labs,DST Global,
Sky Mavis,$3,2021-10-04,Vietnam,Ho Chi Minh City,Internet software & services,"Fabric Ventures, 500 Global, Standard Crypto",3.0,Fabric Ventures,500 Global,Standard Crypto,nan,Fabric Ventures,500 Global,Standard Crypto,
Outschool,$3,2021-04-14,United States,San Francisco,Edtech,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital",3.0,Uniion Square Ventures,Tiger Global Management,Lightspeed Venture Capital,nan,Uniion Square Ventures,Tiger Global Management,Lightspeed Venture Capital,
TradingView,$3,2021-10-14,United States,Westerville,Fintech,"Tiger Global Management, Insight Partners, Jump Capital",3.0,Tiger Global Management,Insight Partners,Jump Capital,nan,Tiger Global Management,Insight Partners,Jump Capital,
Groww,$3,2021-04-07,India,Bengaluru,Fintech,"Tiger Global Management, Sequoia Capital India, Ribbit Capital",3.0,Tiger Global Management,Sequoia Capital India,Ribbit Capital,nan,Tiger Global Management,Sequoia Capital India,Ribbit Capital,
Podium,$3,2020-04-07,United States,Lehi,Internet software & services,"Accel, Summit Partners, Google Ventures",3.0,Accel,Summit Partners,Google Ventures,nan,Accel,Summit Partners,Google Ventures,
Via,$3.30,2020-03-30,United States,New York,Auto & transportation,"83North, RiverPark Ventures, Pitango Venture Capital",3.3,83North,RiverPark Ventures,Pitango Venture Capital,nan,83North,RiverPark Ventures,Pitango Venture Capital,
Anchorage Digital,$3,2021-12-15,United States,San Francisco,Fintech,"Andreessen Horowitz, Blockchain Capital, Lux Capital",3.0,Andreessen Horowitz,Blockchain Capital,Lux Capital,nan,Andreessen Horowitz,Blockchain Capital,Lux Capital,
Inxeption,$3,2022-01-13,United States,San Francisco,Fintech,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors",3.0,Coatue Management,BMO Capital,Schonfeld Strategic Advisors,nan,Coatue Management,BMO Capital,Schonfeld Strategic Advisors,
Lattice,$3,2021-03-23,United States,San Francisco,Internet software & services,"Khosla Ventures, Thrive Capital, Y Combinator",3.0,Khosla Ventures,Thrive Capital,Y Combinator,nan,Khosla Ventures,Thrive Capital,Y Combinator,
Flutterwave,$3,2021-03-09,United States,San Francisco,Fintech,"Green Visor Capital, CRE Venture Capital, Greycroft",3.0,Green Visor Capital,CRE Venture Capital,Greycroft,nan,Green Visor Capital,CRE Venture Capital,Greycroft,
Amber Group,$3,2021-06-21,Hong Kong,Fintech,"Tiger Global Management, Tiger Brokers, DCM Ventures",,3.0,nan,nan,nan,nan,,,,
Cross River Bank,$3,2022-02-11,United States,Fort Lee,Fintech,"Battery Ventures, Andreessen Horowitz, Ribbit Capital",3.0,Battery Ventures,Andreessen Horowitz,Ribbit Capital,nan,Battery Ventures,Andreessen Horowitz,Ribbit Capital,
Remote,$3,2021-07-13,United States,San Francisco,Fintech,"Index Ventures, Sequoia Capital, General Catalyst",3.0,Index Ventures,Sequoia Capital,General Catalyst,nan,Index Ventures,Sequoia Capital,General Catalyst,
Sentry,$3,2021-02-18,United States,San Francisco,Other,"New Enterprise Associates, Accel, Bond",3.0,New Enterprise Associates,Accel,Bond,nan,New Enterprise Associates,Accel,Bond,
Kraken,$2.92,2019-06-25,United States,San Francisco,Fintech,"Bnk To The Future, Trammell Ventures, SBI Investment",2.92,Bnk To The Future,Trammell Ventures,SBI Investment,nan,Bnk To The Future,Trammell Ventures,SBI Investment,
OpenAI,$2.92,2019-07-22,United States,San Francisco,Artificial intelligence,Khosla Ventures,2.92,Khosla Ventures,nan,nan,nan,Khosla Ventures,,,
Workrise,$2.90,2019-09-30,United States,Austin,Internet software & services,"Founders Fund, Quantum Energy Partners, Bedrock Capital",2.9,Founders Fund,Quantum Energy Partners,Bedrock Capital,nan,Founders Fund,Quantum Energy Partners,Bedrock Capital,
Loft,$2.90,2020-01-03,Brazil,Sao Paulo,E-commerce & direct-to-consumer,"Monashees+, Andreessen Horowitz, QED Investors",2.9,Monashees+,Andreessen Horowitz,QED Investors,nan,Monashees+,Andreessen Horowitz,QED Investors,
BharatPe,$2.85,2021-07-30,India,New Delhi,Fintech,"Insight Partners, Sequoia Capital India, BEENEXT",2.85,Insight Partners,Sequoia Capital India,BEENEXT,nan,Insight Partners,Sequoia Capital India,BEENEXT,
DriveWealth,$2.85,2021-08-20,United States,Chatham,Fintech,"Point72 Ventures, Route 66 Ventures, Accel",2.85,Point72 Ventures,Route 66 Ventures,Accel,nan,Point72 Ventures,Route 66 Ventures,Accel,
Flink,$2.85,2021-12-01,Germany,Berlin,E-commerce & direct-to-consumer,"Mubadala Capital, Bond, Prosus Ventures",2.85,Mubadala Capital,Bond,Prosus Ventures,nan,Mubadala Capital,Bond,Prosus Ventures,
Alan,$2.85,2021-04-19,France,Paris,Fintech,"Index Ventures, Temasek, Portag3 Ventures",2.85,Index Ventures,Temasek,Portag3 Ventures,nan,Index Ventures,Temasek,Portag3 Ventures,
Meicai,$2.80,2016-06-22,China,Beijing,Mobile & telecommunications,"Tiger Global Management, Blue Lake Capital, ZhenFund",2.8,Tiger Global Management,Blue Lake Capital,ZhenFund,nan,Tiger Global Management,Blue Lake Capital,ZhenFund,
Zipline,$2.80,2019-05-20,United States,South San Francisco,"Supply chain, logistics, & delivery","Sequoia Capital, Baillie Gifford & Co., Google Ventures",2.8,Sequoia Capital,Baillie Gifford & Co.,Google Ventures,nan,Sequoia Capital,Baillie Gifford & Co.,Google Ventures,
Graphcore,$2.77,2018-12-18,United Kingdom,Bristol,Artificial intelligence,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners",2.77,Dell Technologies Capital,Pitango Venture Capital,Amadeus Capital Partners,nan,Dell Technologies Capital,Pitango Venture Capital,Amadeus Capital Partners,
Illumio,$2.75,2015-04-14,United States,Sunnyvale,Cybersecurity,"Data Collective, Formation 8, General Catalyst Partners",2.75,Data Collective,Formation 8,General Catalyst Partners,nan,Data Collective,Formation 8,General Catalyst Partners,
